id,title,description,avg_salary,currency,employer,city,search_query,employment,remote,published_at,url
126747449,Ведущий инженер по контролю сервисов конвергентной сети,Высшее техническое образование. Знание архитектуры мобильной сети 2G/3G/4G. Знание архитектуры транспортной сети провайдера на базе... Осуществлять On-line мониторинг оборудования IP/MPLS сети передачи <highlighttext>данных</highlighttext>. Проводить первичную диагностику неисправностей оборудования транспортной сети. Координировать процессы локализации...,86000.0,RUR,МТС,Краснодар,инженер данных,Полная занятость,Очная,2025-11-03T11:54:25+0300,https://hh.ru/vacancy/126747449
122720544,Главный инженер по информационной безопасности,Знает основные требования регуляторов в области информационной безопасности и обработки персональных <highlighttext>данных</highlighttext>. Понимает принципы построения информационных систем с позиции обеспечения... Организация и управление работами и мероприятиями по модернизации и оптимизации системы информационной безопасности компании. Разработка и актуализация нормативно-технической документации...,,,Торговая сеть ТАБРИС,Краснодар,инженер данных,Полная занятость,Очная,2025-10-27T10:43:20+0300,https://hh.ru/vacancy/122720544
126285389,Главный инженер проекта (ГИП),"Высшее образование, опыт работы не менее 3х лет. Уверенный пользователь ПК, MS Office, AutoCAD, Autodesk Revit (как преимущество).  Получение исходных <highlighttext>данных</highlighttext>, ТУ. Прохождение государственных экспертиз, взаимодействие с заказчиком. Ведение переписки с участниками разработки проектной документации (заказчик, согласующие и...",225000.0,RUR,ГИПРОТИС,Краснодар,инженер данных,Полная занятость,Очная,2025-11-01T08:32:03+0300,https://hh.ru/vacancy/126285389
126337067,Ведущий инженер-проектировщик по механическому оборудованию/блочно-модульному оборудованию,"Диплом специалиста по проектированию механического оборудования (в нефтегазовой, нефтехимической или другой промышленной области). Не менее 5 лет работы в области... Оценка технической части коммерческих предложений. Участие в определении объема работ, исходных <highlighttext>данных</highlighttext> для проектирования и подготовке отчета о предварительном проектировании.",,,Сахалинские нефтегазовые технологии,Краснодар,инженер данных,Полная занятость,Очная,2025-10-09T06:26:36+0300,https://hh.ru/vacancy/126337067
125668487,Инженер по планированию радиосети (в г. Симферополь),"Высшее техническое образование. Знание принципов и законов радиосвязи, теории телетрафика. Знание основ стандартов GSM/UMTS/LTE. Умение работать с программами... Подготавливать технические задания на строительство. Качественно заполнять базы <highlighttext>данных</highlighttext> планирования радиосети. Разрабатывать комплекс мер для достижения и удержания заданных KPI...",,,Агат,Краснодар,инженер данных,Полная занятость,Очная,2025-10-27T09:48:18+0300,https://hh.ru/vacancy/125668487
124599483,Инженер-сметчик (строительство аэровокзального комплекса г.Краснодар),"Имеете высшее экономическое/техническое образование. Имеете стаж работы в данной области не менее 5 лет. Имеете опыт работы руководителем среднего... Подготовкой исходных <highlighttext>данных</highlighttext> по порядку ценообразования, разработкой перечня сметной документации по комплектам чертежей. Проведением проверки сметной документации, разработанной проектным институтом.",100000.0,RUR,Аэродинамика,Краснодар,инженер данных,Полная занятость,Очная,2025-10-13T13:21:31+0300,https://hh.ru/vacancy/124599483
126825313,Инженер по эксплуатации систем коммерческого учета электроэнергии,"документацией, читать электрические схемы. - умение работать с большими массивами <highlighttext>данных</highlighttext>, системное аналитическое мышление. - продвинутый пользователь MS Excel. - желателен опыт работы... участие в процессе закрытия расчетных периодов в части сбора и предоставления <highlighttext>данных</highlighttext> о потребленной электроэнергии на розничном и оптовом рынках...",80000.0,RUR,Новая энергетическая компания,Краснодар,инженер данных,Полная занятость,Очная,2025-11-03T14:26:34+0300,https://hh.ru/vacancy/126825313
123706893,Старший инженер по проектно-сметной работе,"Высшее профессиональное (техническое или экономическое) образование, с присвоением квалификации ""<highlighttext>Инженер</highlighttext>"". Стаж работы по специальности в области сметного нормирования (отрасль строительства... ...Формирование необходимой отчетности в установленные сроки, подготовка деловых писем, РД, <highlighttext>Данных</highlighttext> и информации по входящим запросам по направлению деятельности.",92779.0,RUR,РН - Туапсинский НПЗ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-05T15:15:07+0300,https://hh.ru/vacancy/123706893
126779062,Старший инженер по оперативному развитию транспортной сети,"Высшее техническое образование. Знание принципов построения, развития и эксплуатации транспортных сетей, волоконно-оптических линий. Знание транспортного оборудования MEN, IP/MPLS... Подготовка исходных <highlighttext>данных</highlighttext> и спецификаций для организации транспортной сети в интересах запуска новых Базовых станций мобильной связи. Анализ топологии транспортной...",,,билайн,Краснодар,инженер данных,Полная занятость,Очная,2025-11-02T13:38:49+0300,https://hh.ru/vacancy/126779062
126116543,Инженер строительного контроля (г. Москва),"Высшее профессиональное образование ПГС. Желательно наличие документов о проф. повышении квалификации. Внимательность, позитивный настрой. ...и т.п.). Вести учет законченных строительно-монтажных работ и подготовка необходимых <highlighttext>данных</highlighttext> для составления отчетности о выполнении планов строительства.",180000.0,RUR,МСУ-1,Краснодар,инженер данных,Полная занятость,Очная,2025-10-10T16:30:53+0300,https://hh.ru/vacancy/126116543
123937339,Инженер-электроник по АСУЭ и АСКУЭ Группы АИИС КУЭ,"Свободное владение ПК (MS Windows + MS Office). Чтение электрических схем. Представление о современных протоколах передачи <highlighttext>данных</highlighttext> АСУ.  Обеспечивать правильную техническую эксплуатацию, бесперебойную работу и обслуживание оборудования и программного обеспечения АИИС КУЭ. Оформлять рабочую документацию. Работать с электронными...",57800.0,RUR,РН - Туапсинский НПЗ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-11T10:40:40+0300,https://hh.ru/vacancy/123937339
125137427,Ведущий инженер,"Высшее техническое образование (электроснабжение, машиностроение). Опыт работы не менее 8 лет. Знание НТД в части проектирования, охраны труда, пожарной и... Разработка монтажных чертежей (изделия, узлы). Согласование разработанной документации непосредственно на объектах и дистанционно. Выполнение необходимых технических расчетов, сбор исходных <highlighttext>данных</highlighttext>.",97500.0,RUR,«Корпорация АК «ЭСКМ»,Краснодар,инженер данных,Полная занятость,Очная,2025-10-24T20:03:28+0300,https://hh.ru/vacancy/125137427
126828977,Ведущий инженер-электрик,"Высшее образование. Опыт работы в проектировании, либо в службе технического заказчика нефтегазовой сфере с взрывоопасными объектами. Опыт работы - от 3... Проработка совместно с Заказчиком и формирование технических требований на проектно-изыскательские работы. Сбор исходных <highlighttext>данных</highlighttext>, исходно-разрешительной документации для выполнения...",,,ООО Ильский НПЗ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-22T15:25:35+0300,https://hh.ru/vacancy/126828977
124971331,Инженер инженерно-технической группы ЦЭЭ,"Разрабатывать годовые графики очередной проверки знаний норм и правил работы в энергоустановках, охраны труда для работников ЦЭЭ. Высшее профессиональное (техническое... Своевременно вносить данные в личные карточки, в базу <highlighttext>данных</highlighttext> по проверке знаний и обучению, по проведённым инструктажам. Осуществлять ведение журналов...",57800.0,RUR,РН - Туапсинский НПЗ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-06T13:26:00+0300,https://hh.ru/vacancy/124971331
103881147,Инженер АСУ,"Профессиональные требования: Высшее техническое образование либо средне-специальное по направлению ""<highlighttext>Инженер</highlighttext> АСУ"". Желателен опыт работы в области АСУ ТП.  Разработка и оптимизация проектов АСУ объекта строительства. Участие в сборе исходных <highlighttext>данных</highlighttext> для проектирования и обследования объектов. Разработка, внесение изменений...",90000.0,RUR,ФонтанГрад,Краснодар,инженер данных,Полная занятость,Очная,2025-10-31T08:14:44+0300,https://hh.ru/vacancy/103881147
126480716,Инженер-механик (Московская область),"Стаж не менее 1 года на аналогичной должности. Знание производственных процессов. Составлять графики ППР, еженедельно планировать работы на основании <highlighttext>данных</highlighttext> графиков. Организовывать выполнение аварийно-восстановительных работ механической части основного и вспомогательного...",154000.0,RUR,"Черкизово, Группа предприятий",Краснодар,инженер данных,Полная занятость,Очная,2025-10-13T16:06:39+0300,https://hh.ru/vacancy/126480716
126780561,Ведущий инженер-проектировщик по 3D проектированию (Архитектурно-строительный отдел),"Знание порядка разработки информационной модели ОКС. Иметь навыки заполнения атрибутивной информации структурных элементов, параметрических и динамических блоков. Знание программ: Microsoft... на многолетнемерзлых грунтах. Выполнение расчетов строительных конструкций. Осуществление сбора исходных <highlighttext>данных</highlighttext>, взаимодействие со смежными структурными подразделениями, ГИПом, Заказчиком.",,,Роснефть - НТЦ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-21T14:04:54+0300,https://hh.ru/vacancy/126780561
126804820,DevOps инженер (стажер),Опыт знакомства с реляционными СУБД и понимание принципов репликации <highlighttext>данных</highlighttext>. Понимание концепции CI/CD. Понимание процессов разработки. Концепции IaC (Infrastructure...,75000.0,RUR,Aston,Краснодар,инженер данных,Полная занятость,Удалённая,2025-10-22T09:04:54+0300,https://hh.ru/vacancy/126804820
127045193,Инженер по эксплуатации аэродромов,"Имеете высшее строительное (дорожное) образование. Работали в AutoCAD. Проверкой технического состояния конструкций и элементов аэродрома, фиксацией <highlighttext>данных</highlighttext> о техническом состоянии аэродрома и наличии дефектов, угрожающих БП в соответствующей...",71000.0,RUR,Аэродинамика,Краснодар,инженер данных,Полная занятость,Очная,2025-10-28T10:13:59+0300,https://hh.ru/vacancy/127045193
126860989,Инженер-строитель,"Опыт работы на строительных площадках в техническом надзоре заказчика или в генподрядных организациях мастером, прорабом, <highlighttext>инженером</highlighttext>-строителем. Знание нормативной документации... Осуществление контроля качества. Поиск подрядных организаций для осуществления проектных работ. Сбор исходных <highlighttext>данных</highlighttext> для проектирования. Ввод в эксплуатацию объектов, оформление...",,,Ультрадекор ГМХ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-23T10:50:01+0300,https://hh.ru/vacancy/126860989
126614182,"Руководитель проекта (Микротоннелирование, Direct Pipe)","Высшее образование (ПГС). Опыт работы в аналогичной должности от 5 лет (желательно с опытом работы в direct Pipe и микротоннелировании). Разработка и согласование Исходных <highlighttext>данных</highlighttext>: Сбор и анализ <highlighttext>данных</highlighttext> геологии, гидрологии, топографии, наличия подземных коммуникаций и инженерных изысканий.",,,Нефть-Газ,Краснодар,инженер данных,Полная занятость,Очная,2025-10-16T14:22:14+0300,https://hh.ru/vacancy/126614182
125352708,Главный специалист монтажного отдела,"Опыт работы в проектной организации не менее 5-ти лет в должности ведущего <highlighttext>инженера</highlighttext>-проектировщика или заведующего группой монтажного отдела.  Разработка 3D модели проектируемого объекта. Проведение экспертизы исходных <highlighttext>данных</highlighttext> к ТЗ. Отработка замечаний эксперта, взаимодействие с представителем государственной экспертизы...",,,Славянск ЭКО,Краснодар,инженер данных,Полная занятость,Очная,2025-10-15T15:07:03+0300,https://hh.ru/vacancy/125352708
