id,title,description,avg_salary,currency,employer,city,search_query,employment,remote,published_at,url
127062284,"Начальник бригады (отдел САУ, бригада САР)","Высшее техническое образование: Машиностроение; детали <highlighttext>машин</highlighttext>; проектирование технологических <highlighttext>машин</highlighttext> и комплексов; приборостроение; проектирование авиационных и ракетных двигателей. Углубленные знания устройства... Организация проектирования агрегатов САУ (в том числе в кооперации со сторонними предприятиями) и проведения испытаний, подтверждающих работоспособность отдельных агрегатов и...",155000.0,RUR,Филиал ПАО «ОДК-Сатурн»- ОМКБ,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-28T13:59:59+0300,https://hh.ru/vacancy/127062284
125979374,Ведущий инженер-конструктор (водоснабжение и канализация),"Стаж работы по специальности в должности конструктора и инженера проектировщика ВК не менее 3 лет. Высшее профессиональное (техническое) образование по... Требованиям к качеству воды на промывку технологического оборудования, нужды строительства, мойку <highlighttext>машин</highlighttext>, охлаждение насосов, компрессоров и другого оборудования, хозяйственно-питьевые...",108000.0,RUR,Русская Нержавеющая Компания,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-30T17:29:38+0300,https://hh.ru/vacancy/125979374
126773651,Врач-стоматолог-терапевт,"со стремлением к развитию. - с желанием лечить людей, с желанием проявлять внимание к их зубам и сохранять природные зубы пациентов :). -  с желанием делать одиночные ортопедические работы (керамические вкладки, одиночные коронки). Вся ортопедия в нашей клинике оцифрована и автоматизирована.",150000.0,RUR,Современная Стоматология,Челябинск,машинное обучение,Полная занятость,Очная,2025-11-02T12:24:04+0300,https://hh.ru/vacancy/126773651
126383062,"Комплектовщик на склад, Москва",Тpeбуется кoмплектовщик нa температурный cклад в Мocкву рaбoта вaхтoвым мeтoдoм! ️ Сборка с ТСД. ️ Стикеровка. ️ Упаковка.,,,ПрофСтар,Челябинск,машинное обучение,Полная занятость,Очная,2025-11-03T08:29:53+0300,https://hh.ru/vacancy/126383062
126400781,Мерчандайзер-грузчик (Челябинск),"При себе необходимо иметь паспорт, трудовую книжку. Принимать и разгружать <highlighttext>машину</highlighttext> с товаром 1-2 раза в неделю. Аккуратно выкладывать товар и актуализировать ценники. Следить за порядком...",52500.0,RUR,FIX PRICE,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-10T12:52:24+0300,https://hh.ru/vacancy/126400781
126437628,Полевой механик по сервисному обслуживанию техники,"Вам предстоит работа с настоящей техникой гигантов — Komatsu, CAT, Epiroc, Четра, LiuGong!",315000.0,RUR,Модерн Машинери Фар Ист,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-13T01:38:58+0300,https://hh.ru/vacancy/126437628
126652808,"Мерчандайзер-грузчик (г.Копейск, ул.Черняховского 11)","При себе необходимо иметь паспорт, трудовую книжку. Принимать и разгружать <highlighttext>машину</highlighttext> с товаром 1-2 раза в неделю. Аккуратно выкладывать товар и актуализировать ценники. Следить за порядком...",52500.0,RUR,FIX PRICE,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-17T13:16:07+0300,https://hh.ru/vacancy/126652808
126625096,"Мерчандайзер-грузчик (г. Челябинск, ул. Ярославская, 10)","При себе необходимо иметь паспорт, трудовую книжку. Принимать и разгружать <highlighttext>машину</highlighttext> с товаром 1-2 раза в неделю. Аккуратно выкладывать товар и актуализировать ценники. Следить за порядком...",52500.0,RUR,FIX PRICE,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-16T17:10:00+0300,https://hh.ru/vacancy/126625096
126816355,Мерчандайзер-грузчик (Челябинск),"При себе необходимо иметь паспорт, трудовую книжку. Принимать и разгружать <highlighttext>машину</highlighttext> с товаром 1-2 раза в неделю. Аккуратно выкладывать товар и актуализировать ценники. Следить за порядком...",52500.0,RUR,FIX PRICE,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-22T11:57:12+0300,https://hh.ru/vacancy/126816355
126624976,Мерчандайзер-грузчик (г. Челябинск),"При себе необходимо иметь паспорт, трудовую книжку. Принимать и разгружать <highlighttext>машину</highlighttext> с товаром 1-2 раза в неделю. Аккуратно выкладывать товар и актуализировать ценники. Следить за порядком...",52500.0,RUR,FIX PRICE,Челябинск,машинное обучение,Полная занятость,Очная,2025-10-16T17:06:10+0300,https://hh.ru/vacancy/126624976
